atemp,casual,cnt,holiday,hr,hum,temp,weathersit,weekday,windspeed,workingday
0.2879,18.26,16,0,0,0.81,0.24,1,6,0,0
0.2879,18.26,16,0,0,0.81,0.24,1,6,0,0
0.2727,5,32,0,2,0.8,0.22,1,6,0,0
0.2879,175.0,13,0,3,0.75,0.24,1,13.8775,0,0
0.2576,0,1,0,5,0.75,0.24,2,13.8775,0,0
0.2727,2,2,0,23.0,0.8,0.22,1,6,0.0896,0
0.2576,1,3,18.130475,7,0.86,0.2,1,6,16.355,0
0.3485,8,14,0,9,0.76,0.24,3.5,6,0,0
0.3333,26,56,0,11,0.76,0.32,1,6,0,0
0.4545,35,106,18.130475,13,0.77,0.36,1,6,0,0
0.4394,40,110,0,14,0.72,0.42,1,6,0.2537,0
5.2925,41,93,0,15,0.72,0.46,2,6,0.2836,-10.45
5.2925,175.0,67,0,23.0,0.77,0.46,2,6,0.2836,0
0.4242,9,35,0,17,0.82,0.44,2,6,0.2985,0
0.4242,6,37,0,18,0.82,0.42,4.0,6,0.2836,0
0.4091,11,332.0,0,19,0.88,0.44,2,6,0.2985,0
0.4091,3,34,0,20,11.9068,3.4328,3,6,-9.925,0
0.4091,11,28,18.130475,21,0.87,0.42,3,6,0.2836,0
0.4545,2,9,0,1,11.9068,0.4,2,-8.4625,0.2537,0
0.4545,2,6,0,2,0.88,0.46,2,6,0.2537,0
5.2925,0,3,0,3,0.94,0.46,2,6,0.194,0
0.4091,0,2,0,4,1,0.44,2,0,0.2239,0
0.4091,0,1,0,6,0.94,0.42,2,0,0.2985,0
0.3939,175.0,8,0,7,0.94,0.46,2,0,0.2985,0
0.3485,7,20,0,23.0,0.77,0.46,2,0,0.2537,0
0.3485,11,70,0,10,0.71,0.4,2,0,0.2836,-7.45
0.3485,4,93,0,11,0.76,0.4,3,0,0.194,0
0.3333,9,59,0,13,-4.178,0.36,-2.5,0,0.2985,0
0.3333,10,76,0,15,0.66,0.36,2,0,0.2239,0
0.2879,-11.1,65,0,16,11.9068,0.36,2,0,0.2239,0
0.2727,-11.1,37.3936875,18.130475,17,0.81,0.36,3,0,0.2239,0
0.2273,11,332.0,0,18,0.71,0.34,3,0,0.2537,0
0.2273,0,22,0,19,0.57,0.34,3,0,0.2985,17.07
0.197,0,31,0,20,0.46,0.34,1,0,0.1343,0
0.1667,0,9,18.130475,21,11.9068,0.36,2,0,0.194,17.07
0.1364,0,8,0,22,0.39,0.32,1,0,0.1642,0
0.1364,0,5,0,23,0.44,3.4328,1,0,0.1642,0
0.1061,0,2,0,0,0.44,0.26,1,0,0.194,17.07
5.2925,1,3,0,23.0,0.44,0.22,3.5,0,0.4478,0
0.1364,7,30,0,5,0.44,0.22,1,0,16.355,0
0.1667,11,64,0,20.375,0.47,0.2,4.0,0,0.3284,0
0.2121,175.0,154,0,7,0.47,0.16,1,1,0.2985,0
0.2121,8,88,0,8,0.5,3.4328,1,1,0.1642,0
0.2424,11,44,0,9,0.5,0.14,1,1,0.3582,0
0.2424,14,51,0,10,0.5,3.4328,1,1,0.4179,1
0.2273,11,37.3936875,0,12,0.43,0.16,1,1,0.3881,1
5.2925,9,-22.3228125,18.130475,13,0.4,0.18,1,1,16.355,1
0.2576,8,72,0,14,0.35,-2.388,-2.5,13.8775,0.3881,-10.45
0.1515,0,332.0,0,15,0.35,0.22,1,1,0.194,1
0.2121,1,110,0,16,0.3,0.24,1,1,16.355,1
0.1818,0,37.3936875,0,17,11.9068,0.26,1,1,0.3881,1
5.2925,0,12,0,19,0.3,0.26,1,1,0.2537,1
0.1515,175.0,5,0,20,0.32,0.24,1,1,0.3284,1
0.1515,2,1,0,21,11.9068,0.24,1,1,0.2985,1
0.1515,2,2,0,22,0.47,3.4328,1,1,0.2836,1
0.1364,5,36,0,0,0.69,0.18,1,1,0.2836,1
-3.4875,7,94,0,1,0.55,0.14,1,13.8775,0.2537,1
0.2273,18,100,0,4,0.59,0.16,1,13.8775,0.2239,1
0.2727,17,57,18.130475,-12.625,0.63,0.16,-2.5,1,0.1045,1
0.2576,175.0,63,0,8,0.74,0.12,1,2,0.1045,1
0.2576,2,-22.3228125,0,9,0.74,0.12,1,2,0.1343,1
0.2576,1,-22.3228125,0,10,0.69,0.12,1,2,0.1343,1
5.2925,0,212,0,11,0.64,3.4328,1,2,-9.925,1
0.2576,1,182,0,12,0.69,0.16,1,2,0.1045,17.07
0.2273,2,112,0,13,0.51,0.16,2,2,0.1045,1
0.2576,0,54,0,-6.625,0.51,0.22,1,2,0.1343,1
0.2273,0,11,0,17,0.52,0.26,1,2,0.0896,1
0.2273,0,6,0,18,0.49,0.28,1,2,0.1045,1
0.1818,1,6,0,19,0.48,0.3,1,2,0.1045,17.07
0.1818,-11.1,2,0,20,0.48,0.28,1,2,0.1343,1
0.197,6,2,0,21,0.48,0.26,1,-8.4625,0.1642,-10.45
0.2273,12,33,0,22,0.48,0.24,1,2,0.2239,1
0.2273,5,88,0,23,0.64,0.24,1,2,0.3284,1
0.2576,6,-22.3228125,0,0,11.9068,0.22,1,2,0.2985,1
0.2879,7,115,0,1,0.69,0.22,1,2,0.1642,1
0.3182,4,57,0,2,11.9068,0.2,1,2,0.194,1
0.2273,4,46,0,4,0.74,0.2,1,2,0.2239,1
0.2424,3,79,0,5,0.74,0.16,1,2,0.2537,1
0.2576,-11.1,71,0,6,0.48,0.16,1,2,0.2537,1
0.197,1,62,0,8,0.47,0.22,1,2,0.194,17.07
0.2576,1,89,0,-6.625,0.43,0.2,1,3,0.1045,1
0.2424,0,190,0,-12.625,0.4,0.18,1,3,0.1045,1
0.2273,0,169,0,20.375,0.37,0.2,1,3,0,1
0.2273,0,37.3936875,0,12,0.37,0.22,1,3,0.0896,1
0.1818,0,89,0,13,0.33,3.4328,1,3,0.0896,1
0.2273,0,42,0,15,0.3,0.26,1,-8.4625,0,1
0.2273,3,19,0,16,0.28,0.26,1,13.8775,0.0896,1
0.2424,6,11,0,17,0.28,0.28,1,3,0.0896,1
0.2879,6,2,0,19,0.38,0.3,3.5,3,0.2239,1
5.2925,12,1,0,23.0,11.9068,0.3,1,3,0.1642,1
-3.4875,8,36,0,21,0.38,0.24,1,3,0.2239,1
0.2576,12,95,0,22,0.47,0.24,1,3,0.194,1
5.2925,9,219,0,23,0.51,0.24,1,3,0.2985,1
0.2273,5,122,-10.884125,0,0.55,0.22,1,3,0.3284,1
0.2121,0,84,0,2,0.47,0.2,1,3,-9.925,1
0.2121,1,67,0,4,0.55,0.18,1,3,0.3284,1
5.2925,4,70,0,23.0,0.64,0.2,1,3,0.3284,1
0.197,-11.1,62,0,6,0.64,0.18,1,3,0.2985,1
5.2925,0,86,0,23.0,0.64,3.4328,1,13.8775,0.194,1
0.2121,0,172,0,8,0.69,0.16,1,3,-9.925,1
0.2727,0,163,0,9,0.63,0.16,2,3,0.0896,1
0.2576,8,112,18.130475,10,0.59,0.14,2,3,0.194,1
0.2121,8,69,0,11,0.59,0.14,2,3,0.1343,-7.45
0.197,20,48,0,12,0.51,0.16,2,4,0.1045,1
0.197,16,52,0,13,0.47,0.16,1,4,0.1642,1
0.197,19,23,18.130475,14,0.44,0.18,2,4,0.194,1
0.197,9,17,0,15,0.35,0.2,1,4,0.1343,17.07
0.1818,9,7,0,16,0.35,0.22,1,4,0,1
0.197,7,1,0,17,0.36,0.26,1,13.8775,0,1
0.2121,5,5,0,19,0.38,0.28,1,4,0,1
0.2273,7,84,0,10.375,0.51,0.28,1,4,0,1
0.197,3,210,0,22,0.51,0.26,1,13.8775,0.0896,1
0.197,0,-22.3228125,0,0,0.51,0.22,1,13.8775,0.0896,1
0.197,1,59,0,23.0,0.55,-2.388,1,13.8775,16.355,1
0.197,1,73,0,2,0.51,0.2,1,4,0,1
0.2121,1,50,0,4,0.59,0.22,1,13.8775,0,1
0.197,0,72,0,5,0.64,0.22,2,4,0,1
0.197,0,87,0,6,0.69,0.2,2,4,0,1
0.1818,1,187,18.130475,7,0.69,0.2,2,4,0.0896,1
0.1818,0,123,0,8,0.69,3.4328,2,4,0,1
0.1818,0,95,0,9,0.55,0.2,2,4,0.1045,1
0.197,5,51,0,10,0.69,0.2,2,4,0.1642,1
0.1818,2,39,0,11,0.69,0.22,2,4,0,1
0.1818,7,15,0,13,0.51,0.2,3,4,0.1642,1
0.1667,12,-22.3228125,0,14,11.9068,0.2,2,4,0.1642,1
0.1667,5,16,0,15,0.37,0.2,4.0,4,0.1343,1
0.1364,8,16,0,16,0.4,0.2,1,5,0.0896,1
0.1212,5,7,0,17,0.37,0.22,1,5,0.1642,1
0.1212,3,1,0,18,0.37,0.2,4.0,13.8775,0.2239,1
0.1061,2,2,0,19,0.4,0.2,2,5,0.2836,-7.45
0.0606,0,15,0,20,0.37,0.2,2,5,16.355,1
0.0606,0,61,0,-12.625,0.37,0.2,2,5,0.194,1
5.2925,0,62,0,22,0.37,3.4328,2,5,0.2239,1
0.0758,0,-22.3228125,0,23,0.4,0.2,2,5,0.2239,1
0.0909,0,102,0,0,0.55,0.2,2,5,0.1343,1
0.0909,0,95,0,1,0.47,0.2,2,5,0,1
0.0909,0,74,0,2,0.47,0.16,1,5,0,1
0.0909,0,69,18.130475,4,-7.178,0.18,1,5,0.1343,1
0.1061,0,30,0,6,0.55,0.18,1,13.8775,0.2537,1
0.1212,2,28,0,7,0.55,3.4328,2,5,0.2985,1
0.1364,175.0,37,0,8,0.55,0.18,-2.5,13.8775,0.3284,1
0.1667,6,34,0,9,0.55,0.18,2,5,0.2239,1
0.1818,8,22,0,10,0.74,0.18,2,5,0.2537,1
5.2925,5,-22.3228125,18.130475,23.0,0.74,3.4328,2,13.8775,0.2836,1
0.1667,175.0,12,0,12,0.74,0.18,3,5,0.2537,1
0.1515,3,11,0,23.0,0.93,0.16,3,5,0.1642,1
0.1364,4,4,0,14,0.93,0.16,2,5,0.1642,1
0.1364,175.0,1,0,15,0.8,0.16,2,5,0,1
0.1212,0,1,0,16,11.9068,0.16,2,5,0.0896,1
0.1061,1,1,0,17,0.59,0.16,3,6,0.0896,1
